;Unnamed: 0;nb_salaires_cleaned;age_cleaned;anciennete_emploi_cleaned;salaire_mensuel_cleaned;taux_endettement_cleaned;duree_pret_cleaned;anciennete_bni_cleaned;mensualite_cleaned;code_DTX_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;categorie_employeur_cleaned_UNIQUEVAL;nature_CAP_cleaned_UNIQUEVAL;type_contrat_cleaned;salaire_vivable;argent_journalier;age_end;year;label
4035;6094;2.0;32.0;50.0;106388.2;32.94;24;4.0;3504427.308;1;NON;MARIE;CONNUE;CAP;CDI;-3398039.1079999995;-113267.97026666664;34.0;2011;1
17613;2850;2.0;42.0;15.0;112000.0;32.78;24;2.0;3671360.0;0;NON;MARIE;CONNUE;CAP;CDI;-3559360.0;-118645.33333333331;44.0;2012;1
6202;6290;29.0;31.0;48.0;206200.0;32.4;60;29.0;6680880.0;0;OUI;MARIE;FAVORISER;CAP_Rechargeable;CDI;-6474680.0;-215822.66666666663;36.0;2011;1
11656;7145;1.0;27.0;20.0;110000.0;32.99;24;1.0;3628900.0;1;NON;CELIBATAIRE;CONNUE;CAP;CDI;-3518900.0;-117296.66666666669;29.0;2011;1
5160;972;40.0;54.0;22.0;260403.4;17.77;12;45.0;4627368.4180000005;0;NON;VEUF;FONCTIONNAIRE;CAP;CDI;-4366965.017999998;-145565.50059999994;55.0;2011;1
12406;6651;5.0;30.0;38.0;80000.0;32.76;24;7.0;2620800.0;1;OUI;CONCUBINE;CONNUE;CAP;CDI;-2540800.0;-84693.33333333331;32.0;2011;1
15244;1199;31.0;51.0;69.0;180000.0;32.97;24;32.0;5934600.0;0;NON;MARIE;RENSEIGNER;CAP;CDI;-5754600.0;-191820.0;53.0;2012;1
6740;7008;25.0;28.0;30.0;295000.0;32.93;36;36.0;9714350.0;1;NON;CELIBATAIRE;CONNUE;CAP;CDI;-9419350.0;-313978.33333333326;31.0;2011;1
1133;5035;24.0;34.0;52.0;364331.91;32.99;60;25.0;12019309.7109;0;NON;MARIE;CONNUE;CAP_Rechargeable;CDI;-11654977.8009;-388499.26003;39.0;2012;1
5491;2952;1.0;43.0;163.0;258800.0;32.13;36;5.0;8315244.000000001;0;OUI;MARIE;FAVORISER;CAP;CDI;-8056444.000000001;-268548.13333333336;46.0;2011;1
4968;4165;18.0;38.0;63.0;167725.51;32.84;24;22.0;5508105.748400001;0;NON;MARIE;CONNUE;CAP_Rechargeable;CDI;-5340380.238400001;-178012.67461333337;40.0;2011;1
3511;3044;1.0;43.0;150.0;182931.0;32.57;60;5.0;5958062.67;0;NON;MARIE;FONCTIONNAIRE;CAP;CDI;-5775131.67;-192504.389;48.0;2011;1
14121;69;21.0;61.0;136.0;146300.0;32.87;19;23.0;4808881.0;0;NON;CONCUBINE;CONNUE;CAP_Rechargeable;CDI;-4662581.0;-155419.36666666667;62.58333333333334;2011;1
14423;354;25.0;58.0;389.0;390501.0;31.14;60;40.0;12160201.14;0;NON;MARIE;FONCTIONNAIRE;CAP_Rechargeable;CDI;-11769700.14;-392323.3380000001;63.0;2011;1
3489;6301;2.0;30.0;14.0;340000.0;31.93;36;3.0;10856200.0;0;NON;CELIBATAIRE;CONNUE;CAP;CDI;-10516200.0;-350540.0;33.0;2012;1
18437;7293;35.0;26.0;44.0;250000.0;27.36;24;35.0;6840000.0;0;NON;MARIE;CONNUE;CAP;CDI;-6590000.0;-219666.66666666663;28.0;2012;1
14716;4986;85.0;34.0;85.0;500000.0;25.15;24;85.0;12575000.0;0;NON;CELIBATAIRE;RENSEIGNER;CAP;CDI;-12075000.0;-402500.0;36.0;2012;1
3370;1492;9.0;49.0;168.0;147000.0;32.84;24;10.0;4827480.000000001;0;NON;MARIE;RENSEIGNER;CAP;CDI;-4680480.000000001;-156016.00000000006;51.0;2012;1
13183;3838;25.0;39.0;37.0;372757.6;32.73;30;40.0;12200356.247999998;0;OUI;MARIE;FONCTIONNAIRE;CAP;CDI;-11827598.647999998;-394253.2882666666;41.5;2011;1
3847;756;28.0;54.0;341.0;285718.0;32.92;60;30.0;9405836.56;0;NON;CONCUBINE;FONCTIONNAIRE;CAP_Rechargeable;CDI;-9120118.56;-304003.952;59.0;2012;1
2909;3908;18.0;38.0;50.0;150000.0;32.86;24;19.0;4929000.0;0;NON;MARIE;RENSEIGNER;CAP_Rechargeable;CDI;-4779000.0;-159300.0;40.0;2012;1
3536;5873;4.0;32.0;17.0;320000.0;32.29;24;6.0;10332800.0;1;NON;CELIBATAIRE;RENSEIGNER;CAP;CDI;-10012800.0;-333760.0;34.0;2011;1
4593;1142;44.0;51.0;278.0;348756.8;32.94;60;45.0;11488048.992;0;OUI;MARIE;FONCTIONNAIRE;CAP_Rechargeable;CDI;-11139292.191999998;-371309.7397333333;56.0;2012;1
7154;216;23.0;58.0;44.0;148500.0;32.51;24;23.0;4827735.0;0;NON;MARIE;RENSEIGNER;CAP_Rechargeable;CDI;-4679235.0;-155974.5;60.0;2012;1
